source target weight
400 1293 1.0
401 1294 1.0
401 1295 1.0
401 1296 1.0
402 1297 1.0
402 1298 1.0
402 1299 1.0
403 1300 1.0
403 1301 1.0
403 1302 1.0
403 1303 1.0
404 1304 1.0
404 1305 1.0
404 1306 1.0
405 1307 1.0
405 1308 1.0
405 1309 1.0
406 1310 1.0
406 1311 1.0
407 1312 1.0
407 1313 1.0
407 1314 1.0
407 1315 1.0
408 1316 1.0
408 1317 1.0
409 1318 1.0
409 1319 1.0
409 1320 1.0
410 1321 1.0
410 1322 1.0
410 1323 1.0
410 1324 1.0
411 1325 1.0
411 1326 1.0
411 1327 1.0
412 1328 1.0
412 1329 1.0
413 1330 1.0
413 1331 1.0
413 1332 1.0
414 1333 1.0
414 1334 1.0
414 1335 1.0
415 1336 1.0
415 1337 1.0
415 1338 1.0
416 1339 1.0
416 1340 1.0
416 1341 1.0
417 1342 1.0
417 1343 1.0
417 1344 1.0
418 1345 1.0
418 1346 1.0
418 1347 1.0
418 1348 1.0
419 1349 1.0
419 1350 1.0
419 1351 1.0
420 1352 1.0
420 1353 1.0
420 1354 1.0
421 1355 1.0
421 1356 1.0
421 1357 1.0
422 1358 1.0
422 1359 1.0
422 1360 1.0
423 1361 1.0
423 1362 1.0
423 1363 1.0
424 1364 1.0
424 1365 1.0
424 1366 1.0
425 1367 1.0
425 1368 1.0
426 1369 1.0
426 1370 1.0
426 1371 1.0
426 1372 1.0
427 1373 1.0
427 1374 1.0
427 1375 1.0
428 1376 1.0
428 1377 1.0
429 1378 1.0
429 1379 1.0
429 1380 1.0
430 1381 1.0
430 1382 1.0
430 1383 1.0
431 1384 1.0
431 1385 1.0
432 1386 1.0
432 1387 1.0
432 1388 1.0
433 1389 1.0
433 1390 1.0
433 1391 1.0
434 1392 1.0
434 1393 1.0
434 1394 1.0
435 1395 1.0
435 1396 1.0
435 1397 1.0
436 1398 1.0
436 1399 1.0
436 1400 1.0
436 1401 1.0
437 1402 1.0
437 1403 1.0
437 1404 1.0
438 1405 1.0
438 1406 1.0
438 1407 1.0
439 1408 1.0
439 1409 1.0
440 1410 1.0
440 1411 1.0
440 1412 1.0
441 1413 1.0
441 1414 1.0
441 1415 1.0
442 1416 1.0
442 1417 1.0
442 1418 1.0
442 1419 1.0
443 1420 1.0
443 1421 1.0
443 1422 1.0
444 1423 1.0
444 1424 1.0
444 1425 1.0
445 1426 1.0
445 1427 1.0
445 1428 1.0
446 1429 1.0
446 1430 1.0
446 1431 1.0
447 1432 1.0
447 1433 1.0
447 1434 1.0
448 1435 1.0
448 1436 1.0
448 1437 1.0
449 1438 1.0
449 1439 1.0
450 1440 1.0
450 1441 1.0
450 1442 1.0
450 1443 1.0
451 1444 1.0
451 1445 1.0
451 1446 1.0
452 1447 1.0
452 1448 1.0
452 1449 1.0
452 1450 1.0
453 1451 1.0
453 1452 1.0
453 1453 1.0
454 1454 1.0
454 1455 1.0
454 1456 1.0
455 1457 1.0
455 1458 1.0
455 1459 1.0
456 1460 1.0
456 1461 1.0
456 1462 1.0
457 1463 1.0
457 1464 1.0
457 1465 1.0
458 1466 1.0
458 1467 1.0
458 1468 1.0
459 1469 1.0
459 1470 1.0
459 1471 1.0
460 1472 1.0
460 1473 1.0
460 1474 1.0
461 1475 1.0
461 1476 1.0
461 1477 1.0
462 1478 1.0
462 1479 1.0
463 1480 1.0
463 1481 1.0
463 1482 1.0
463 1483 1.0
464 1484 1.0
464 1485 1.0
464 1486 1.0
465 1487 1.0
466 1488 1.0
466 1489 1.0
466 1490 1.0
466 1491 1.0
466 1492 1.0
467 1493 1.0
467 1494 1.0
467 1495 1.0
467 1496 1.0
467 1497 1.0
468 1498 1.0
468 1499 1.0
468 1500 1.0
469 1501 1.0
469 1502 1.0
469 1503 1.0
470 1504 1.0
470 1505 1.0
471 1506 1.0
471 1507 1.0
471 1508 1.0
472 1509 1.0
472 1510 1.0
472 1511 1.0
473 1512 1.0
473 1513 1.0
473 1514 1.0
474 1515 1.0
474 1516 1.0
475 1517 1.0
475 1518 1.0
475 1519 1.0
476 1520 1.0
476 1521 1.0
476 1522 1.0
477 1523 1.0
477 1524 1.0
477 1525 1.0
478 1526 1.0
478 1527 1.0
478 1528 1.0
478 1529 1.0
479 1530 1.0
479 1531 1.0
479 1532 1.0
480 1533 1.0
480 1534 1.0
480 1535 1.0
481 1536 1.0
481 1537 1.0
481 1538 1.0
482 1539 1.0
482 1540 1.0
482 1541 1.0
483 1542 1.0
483 1543 1.0
483 1544 1.0
484 1545 1.0
484 1546 1.0
484 1547 1.0
485 1548 1.0
485 1549 1.0
485 1550 1.0
486 1551 1.0
486 1552 1.0
486 1553 1.0
487 1554 1.0
487 1555 1.0
487 1556 1.0
488 1557 1.0
488 1558 1.0
488 1559 1.0
489 1560 1.0
489 1561 1.0
489 1562 1.0
490 1563 1.0
490 1564 1.0
490 1565 1.0
491 1566 1.0
491 1567 1.0
491 1568 1.0
492 1569 1.0
492 1570 1.0
493 1571 1.0
493 1572 1.0
493 1573 1.0
493 1574 1.0
494 1575 1.0
494 1576 1.0
494 1577 1.0
495 1578 1.0
495 1579 1.0
495 1580 1.0
496 1581 1.0
496 1582 1.0
496 1583 1.0
497 1584 1.0
497 1585 1.0
497 1586 1.0
498 1587 1.0
498 1588 1.0
498 1589 1.0
499 1590 1.0
499 1591 1.0
499 1592 1.0
500 1593 1.0
500 1594 1.0
500 1595 1.0
501 1596 1.0
501 1597 1.0
501 1598 1.0
502 1599 1.0
502 1600 1.0
503 1601 1.0
503 1602 1.0
503 1603 1.0
503 1604 1.0
503 1605 1.0
504 1606 1.0
504 1607 1.0
504 1608 1.0
504 1609 1.0
504 1610 1.0
505 1611 1.0
505 1612 1.0
505 1613 1.0
505 1614 1.0
506 1615 1.0
506 1616 1.0
506 1617 1.0
506 1618 1.0
507 1619 1.0
507 1620 1.0
507 1621 1.0
507 1622 1.0
508 1623 1.0
508 1624 1.0
508 1625 1.0
509 1626 1.0
509 1627 1.0
509 1628 1.0
510 1629 1.0
510 1630 1.0
510 1631 1.0
511 1632 1.0
511 1633 1.0
511 1634 1.0
512 1635 1.0
512 1636 1.0
512 1637 1.0
513 1638 1.0
513 1639 1.0
513 1640 1.0
514 1641 1.0
514 1642 1.0
514 1643 1.0
515 1644 1.0
515 1645 1.0
515 1646 1.0
516 1647 1.0
516 1648 1.0
516 1649 1.0
517 1650 1.0
517 1651 1.0
517 1652 1.0
517 1653 1.0
518 1654 1.0
518 1655 1.0
518 1656 1.0
519 1657 1.0
519 1658 1.0
520 1659 1.0
520 1660 1.0
520 1661 1.0
521 1662 1.0
521 1663 1.0
